predictday,noaaID,Class,CV_average,NOAA_NUMS,MPlus,y_true
20231115,13486,N,0.125,1,0.0113999999999999,0
20231116,13486,C,0.158,1,0.0017,0
20231120,13489,C,0.893,1,0.1694999999999999,0
20231121,13489,C,0.924,1,0.1372,0
20231121,13490,C,0.784,1,0.026,0
20231122,13489,N,0.915,1,0.2087999999999999,0
20231126,13501,N,0.183,1,0.0014,0
20231126,13500,C,0.954,1,0.0169,0
20231127,13500,C,0.935,1,0.2867,0
20231127,13501,N,0.111,1,0.0598,0
20231128,13501,N,0.023,1,0.0617999999999999,0
20231128,13503,C,0.088,1,0.0028,0
20231128,13500,M,0.913,1,0.1332,1
20231129,13501,N,0.026,1,0.0281,0
20231129,13500,C,0.95,1,0.0855,0
20231129,13503,N,0.036,1,0.0263,0
20231130,13500,C,0.953,1,0.1275,0
20231130,13501,N,0.037,1,0.2392,0
20231130,13503,N,0.052,1,0.0266999999999999,0
20231201,13503,N,0.026,1,0.1926,0
20231201,13501,N,0.03,1,0.0862,0
20231201,13500,M,0.959,1,0.0385999999999999,1
20231202,13507,N,0.189,1,0.0009,0
20231202,13503,C,0.018,1,0.1719,0
20231202,13501,N,0.038,1,0.0028,0
20231202,13500,C,0.957,1,0.0151,0
20231203,13500,C,0.939,1,0.0043,0
20231203,13507,C,0.228,1,0.0016,0
20231203,13501,N,0.07,1,0.0949,0
20231204,13507,C,0.1,1,0.01,0
20231205,13507,N,0.074,1,0.0294,0
20231206,13507,C,0.084,1,0.0812,0
20231207,13512,N,0.015,1,0.2337999999999999,0
20231207,13507,N,0.175,1,0.0914,0
20231208,13513,C,0.63,1,0.0014,0
20231208,13512,N,0.013,1,0.0225,0
20231208,13507,N,0.466,1,0.0891,0
20231209,13507,N,0.362,1,0.1143,0
20231209,13513,C,0.727,1,0.0015,0
20231209,13514,N,0.204,1,0.0029,0
20231210,13513,C,0.659,1,0.0019,0
20231210,13514,N,0.107,1,0.0192,0
20231211,13513,C,0.638,1,0.0060999999999999,0
20231211,13514,C,0.067,1,0.0532,0
20231212,13514,C,0.162,1,0.0603,0
20231212,13513,C,0.276,1,0.002,0
20231215,13518,N,0.077,1,0.0019,0
20231216,13519,N,0.115,1,0.0220999999999999,0
20231216,13518,N,0.02,1,0.0064,0
20231217,13518,N,0.023,1,0.0706,0
20231217,13519,N,0.104,1,0.0019,0
20231218,13521,N,0.152,1,0.0017,0
20231218,13519,C,0.11,1,0.0014,0
20231219,13519,N,0.124,1,0.0019,0
20231219,13525,N,0.019,1,0.0135,0
20231220,13525,N,0.021,1,0.0033,0
20231220,13519,C,0.548,1,0.0077,0
20231221,13519,M,0.747,1,0.0184,1
20231221,13529,C,0.747,1,0.0975,0
20231222,13530,N,0.356,1,0.0025,0
20231222,13529,N,0.707,1,0.085,0
20231223,13531,N,0.557,1,0.0036,0
20231223,13529,N,0.254,1,0.0015,0
20231223,13530,C,0.387,1,0.0421,0
20231224,13530,C,0.637,1,0.0046999999999999,0
20231224,13531,N,0.464,1,0.0019,0
20231224,13529,M,0.386,1,0.0017,1
20231225,13529,C,0.651,1,0.0978,0
20231225,13533,C,0.098,1,0.0070999999999999,0
20231225,13531,C,0.228,1,0.0069999999999999,0
20231226,13531,N,0.129,1,0.0298,0
20231226,13533,N,0.034,1,0.0146,0
20231226,13529,C,0.626,1,0.1766,0
